Price,Cells,Capacity (mAh),Dollars per Wh,Link
$55.98,5,5000,0.60519,http://www.hobbyking.com/hobbyking/store/__14613__Turnigy_nano_tech_5000mah_5S_25_50C_Lipo_Pack.html
$44.79,5,4000,0.60527,http://www.hobbyking.com/hobbyking/store/__14610__Turnigy_nano_tech_4000mah_5S_25_50C_Lipo_Pack.html
$103.95,8,5800,0.60549,http://www.hobbyking.com/hobbyking/store/__10870__Turnigy_5800mAh_8S_25C_Lipo_Pack.html
$40.37,6,3000,0.60616,http://www.hobbyking.com/hobbyking/store/__11921__Turnigy_nano_tech_3000mah_6S_25_50C_Lipo_Pack.html
$89.83,5,8000,0.60696,http://www.hobbyking.com/hobbyking/store/__18209__Turnigy_nano_tech_8000mAh_5S_25_50C_Lipo_Pack.html
$89.99,10,4000,0.60804,http://www.hobbyking.com/hobbyking/store/__24297__Turnigy_nano_tech_A_SPEC_4000mah_10S_65_130C_Lipo_Pack.html
$23.41,2,5200,0.60837,http://www.hobbyking.com/hobbyking/store/__21002__Turnigy_5200mAh_2S_30C_Hard_Case_Car_Lipo_Pack_ROAR_APPROVED_.html
$49.99,6,3700,0.6086,http://www.hobbyking.com/hobbyking/store/__9341__Rhino_3700mAh_6S_22_2v_25C_Lipoly_Pack.html
$40.55,5,3600,0.60886,http://www.hobbyking.com/hobbyking/store/__9507__Turnigy_3600mAh_5S_30C_Lipo_Pack.html
$11.75,4,1300,0.61071,http://www.hobbyking.com/hobbyking/store/__21339__ZIPPY_Compact_1300mAh_4S_25C_Lipo_Pack.html
$14.95,2,3300,0.6122,http://www.hobbyking.com/hobbyking/store/__9499__Turnigy_3300mAh_2S_30C_Lipo_Pack.html
$44.85,6,3300,0.6122,http://www.hobbyking.com/hobbyking/store/__9503__Turnigy_3300mAh_6S_30C_Lipo_Pack.html
$48.99,6,3600,0.61299,http://www.hobbyking.com/hobbyking/store/__9508__Turnigy_3600mAh_6S_30C_Lipo_Pack.html
$51.08,5,4500,0.61357,http://www.hobbyking.com/hobbyking/store/__21423__ZIPPY_Compact_4500mAh_5S_35C_Lipo_Pack.html
$9.99,2,2200,0.61364,http://www.hobbyking.com/hobbyking/store/__8935__Turnigy_2200mAh_2S_25C_Lipo_Pack.html
$14.99,3,2200,0.61384,http://www.hobbyking.com/hobbyking/store/__10383__Turnigy_2200mAh_3S_35C_Lipo_Pack.html
$29.99,4,3300,0.61405,http://www.hobbyking.com/hobbyking/store/__9501__Turnigy_3300mAh_4S_30C_Lipo_Pack.html
$109.06,6,8000,0.61408,http://www.hobbyking.com/hobbyking/store/__18210__Turnigy_nano_tech_8000mAh_6S_25_50C_Lipo_Pack.html
$17.90,3,2620,0.6155,http://www.hobbyking.com/hobbyking/store/__7346__Rhino_2620mAh_3S_11_1v_Low_Discharge_Transmitter_Lipoly_Pack_.html
$34.19,5,3000,0.61604,http://www.hobbyking.com/hobbyking/store/__9488__Turnigy_3000mAh_5S_30C_Lipo_Pack.html
$24.70,3,3600,0.61812,http://www.hobbyking.com/hobbyking/store/__9505__Turnigy_3600mAh_3S_30C_Lipo_Pack.html
$4.81,2,1050,0.61905,http://www.hobbyking.com/hobbyking/store/__7307__Rhino_1050mah_2S_7_4v_20C_Lipoly_Pack.html
$8.26,2,1800,0.62012,http://www.hobbyking.com/hobbyking/store/__17291__Turnigy_nano_tech_1800mah_2S_20_40C_Lipo_AIRSOFT_Pack.html
$12.39,3,1800,0.62012,http://www.hobbyking.com/hobbyking/store/__17292__Turnigy_nano_tech_1800mah_3S_20_40C_Lipo_AIRSOFT_Pack.html
$8.95,3,1300,0.62024,http://www.hobbyking.com/hobbyking/store/__9272__Turnigy_1300mAh_3S_20C_Lipo_Pack.html
$115.18,10,5000,0.62259,http://www.hobbyking.com/hobbyking/store/__14609__Turnigy_nano_tech_5000mah_10S_25_50C_Lipo_Pack.html
$18.43,2,4000,0.62264,http://www.hobbyking.com/hobbyking/store/__21004__Turnigy_4000mAh_2S_30C_hardcase_pack_ROAR_APPROVED_.html
$8.30,2,1800,0.62312,http://www.hobbyking.com/hobbyking/store/__21342__ZIPPY_Compact_1800mAh_2S_25C_Lipo_Pack.html
$30.50,6,2200,0.62449,http://www.hobbyking.com/hobbyking/store/__9462__Turnigy_2200mAh_6S_30C_Lipo_Pack.html
$25.42,5,2200,0.62457,http://www.hobbyking.com/hobbyking/store/__9461__Turnigy_2200mAh_5S_30C_Lipo_Pack.html
$49.99,8,2700,0.6255,http://www.hobbyking.com/hobbyking/store/__21401__ZIPPY_Compact_2700mAh_8S_35C_Lipo_Pack.html
$11.60,1,5000,0.62703,http://www.hobbyking.com/hobbyking/store/__18562__Turnigy_5000mAh_1S_40C_Lipoly_Single_Cell_.html
$66.89,4,7200,0.62772,http://www.hobbyking.com/hobbyking/store/__38502__Turnigy_7200mAh_4S_14_8V_40C_Hardcase_Pack.html
$9.99,2,2150,0.62791,http://www.hobbyking.com/hobbyking/store/__9316__Rhino_2150mAh_2S_7_4v_30C_Lipoly_Pack.html
$4.65,2,1000,0.62838,http://www.hobbyking.com/hobbyking/store/__9170__Turnigy_1000mAh_2S_20C_Lipo_Pack.html
$26.99,2,5800,0.62884,http://www.hobbyking.com/hobbyking/store/__21379__ZIPPY_Compact_5800mAh_2S_25C_Lipo_Pack.html
$68.47,6,4900,0.62944,http://www.hobbyking.com/hobbyking/store/__9315__Rhino_4900mAh_6S_22_2v_25C_Lipoly_Pack.html
$13.99,2,3000,0.63018,http://www.hobbyking.com/hobbyking/store/__11918__Turnigy_nano_tech_3000mah_2S_25_50C_Lipo_Pack.html
$2.80,1,1200,0.63063,http://www.hobbyking.com/hobbyking/store/__23320__Turnigy_nano_tech_1200mah_1S_15C_Round_Lipo_.html
$10.29,2,2200,0.63206,http://www.hobbyking.com/hobbyking/store/__21345__ZIPPY_Compact_2200mAh_2S_25C_Lipo_Pack.html
$12.67,3,1800,0.63413,http://www.hobbyking.com/hobbyking/store/__17294__Turnigy_nano_tech_1800mah_3S_20_40C_Lipo_AIRSOFT_Pack.html
$38.89,5,3300,0.63702,http://www.hobbyking.com/hobbyking/store/__21405__ZIPPY_Compact_3300mAh_5S_35C_Lipo_Pack.html
$70.98,6,5000,0.63946,http://www.hobbyking.com/hobbyking/store/__10308__Turnigy_5000mAh_6S_40C_Lipo_Pack.html
$5.92,2,1250,0.64,http://www.hobbyking.com/hobbyking/store/__7310__Rhino_1250mAh_2S_7_4v_20C_Lipoly_Pack_.html
$8.55,2,1800,0.64189,http://www.hobbyking.com/hobbyking/store/__17293__Turnigy_nano_tech_1800mah_2S_20_40C_Lipo_AIRSOFT_Pack.html
$45.12,7,2700,0.64522,http://www.hobbyking.com/hobbyking/store/__21400__ZIPPY_Compact_2700mAh_7S_35C_Lipo_Pack.html
$19.36,3,2700,0.64598,http://www.hobbyking.com/hobbyking/store/__21396__ZIPPY_Compact_2700mAh_3S_35C_Lipo_Pack.html
$12.92,2,2700,0.64665,http://www.hobbyking.com/hobbyking/store/__21395__ZIPPY_Compact_2700mAh_2S_35C_Lipo_Pack.html
$107.95,10,4500,0.64835,http://www.hobbyking.com/hobbyking/store/__21428__ZIPPY_Compact_4500mAh_10S_35C_Lipo_Pack.html
$27.86,2,5800,0.64911,http://www.hobbyking.com/hobbyking/store/__10285__Turnigy_5800mAh_2S_25C_Lipo_Pack.html
$41.79,3,5800,0.64911,http://www.hobbyking.com/hobbyking/store/__10286__Turnigy_5800mAh_3S_25C_Lipo_Pack.html
$43.29,6,3000,0.65,http://www.hobbyking.com/hobbyking/store/__9489__Turnigy_3000mAh_6S_30C_Lipo_Pack.html
$8.68,2,1800,0.65165,http://www.hobbyking.com/hobbyking/store/__11907__Turnigy_nano_tech_1800mah_2S_25_50C_Lipo_Pack.html
$32.55,3,4500,0.65165,http://www.hobbyking.com/hobbyking/store/__11931__Turnigy_nano_tech_4500mah_3S_25_50C_Lipo_Pack.html
$72.35,6,5000,0.6518,http://www.hobbyking.com/hobbyking/store/__11937__Turnigy_nano_tech_5000mah_6S_25_50C_Lipo_Pack.html
$28.94,2,6000,0.6518,http://www.hobbyking.com/hobbyking/store/__11938__Turnigy_nano_tech_6000mah_2S_25_50C_Lipo_Pack.html
$43.41,4,4500,0.6518,http://www.hobbyking.com/hobbyking/store/__11932__Turnigy_nano_tech_4500mah_4S_25_50C_Lipo_Pack.html
$38.59,4,4000,0.65186,http://www.hobbyking.com/hobbyking/store/__11928__Turnigy_nano_tech_4000mah_4S_25_50C_Lipo_Pack.html
$28.99,4,3000,0.65293,http://www.hobbyking.com/hobbyking/store/__9498__Turnigy_3000mAh_4S_30C_Lipo_Pack.html
$6.29,2,1300,0.65385,http://www.hobbyking.com/hobbyking/store/__9165__Turnigy_1300mAh_2S_20C_Lipo_Pack.html
$2.42,1,1000,0.65405,http://www.hobbyking.com/hobbyking/store/__18557__Turnigy_1000mAh_1S_20C_Lipoly_Single_Cell_.html
$21.79,3,3000,0.65435,http://www.hobbyking.com/hobbyking/store/__9497__Turnigy_3000mAh_3S_30C_Lipo_Pack.html
$7.75,2,1600,0.65456,http://www.hobbyking.com/hobbyking/store/__9166__Turnigy_1600mAh_2S_20C_Lipo_Pack.html
$9.49,3,1300,0.65766,http://www.hobbyking.com/hobbyking/store/__21338__ZIPPY_Compact_1300mAh_3S_25C_Lipo_Pack.html
$58.50,6,4000,0.65878,http://www.hobbyking.com/hobbyking/store/__9513__Turnigy_4000mAh_6S_30C_Lipo_Pack.html
$6.34,2,1300,0.65904,http://www.hobbyking.com/hobbyking/store/__21337__ZIPPY_Compact_1300mAh_2S_25C_Lipo_Pack.html
$11.96,2,2450,0.65968,http://www.hobbyking.com/hobbyking/store/__10273__Turnigy_2450mAh_2S_30C_Lipo_Pack.html
$8.81,2,1800,0.66141,http://www.hobbyking.com/hobbyking/store/__9169__Turnigy_1800mAh_2S_20C_Lipo_Pack.html
$23.99,4,2450,0.66161,http://www.hobbyking.com/hobbyking/store/__10275__Turnigy_2450mAh_4S_30C_Lipo_Pack.html
$49.00,4,5000,0.66216,http://www.hobbyking.com/hobbyking/store/__38499__Turnigy_5000mAh_4S_14_8V_60C_Hardcase_Pack.html
$64.96,4,6600,0.66503,http://www.hobbyking.com/hobbyking/store/__38501__Turnigy_6600mAh_4S_14_8V_60C_Hardcase_Pack.html
$40.61,5,3300,0.66519,http://www.hobbyking.com/hobbyking/store/__9502__Turnigy_3300mAh_5S_30C_Lipo_Pack.html
$19.75,2,4000,0.66723,http://www.hobbyking.com/hobbyking/store/__10301__Turnigy_4000mAh_2S_40C_Lipo_Pack.html
$29.63,3,4000,0.66734,http://www.hobbyking.com/hobbyking/store/__10302__Turnigy_4000mAh_3S_40C_Lipo_Pack.html
$59.28,6,4000,0.66757,http://www.hobbyking.com/hobbyking/store/__10304__Turnigy_4000mAh_6S_40C_Lipo_Pack.html
$8.40,2,1700,0.66773,http://www.hobbyking.com/hobbyking/store/__15088__Turnigy_1700mAh_2S_20C_Lipo_Pack_Suits_1_16th_Monster_Beatle_SCT_Buggy_.html
$16.03,3,2150,0.67169,http://www.hobbyking.com/hobbyking/store/__9317__Rhino_2150mAh_3S_11_1v_25C_Lipoly_Pack.html
$8.97,3,1200,0.67342,http://www.hobbyking.com/hobbyking/store/__17276__Turnigy_nano_tech_1200mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$5.98,2,1200,0.67342,http://www.hobbyking.com/hobbyking/store/__17275__Turnigy_nano_tech_1200mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$14.95,3,2000,0.67342,http://www.hobbyking.com/hobbyking/store/__17284__Turnigy_nano_tech_2000mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$17.94,2,3600,0.67342,http://www.hobbyking.com/hobbyking/store/__28006__Turnigy_3600mAh_2S_12C_Lipo_Receiver_Pack.html
$9.97,2,2000,0.67365,http://www.hobbyking.com/hobbyking/store/__17283__Turnigy_nano_tech_2000mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$10.47,3,1400,0.67375,http://www.hobbyking.com/hobbyking/store/__17280__Turnigy_nano_tech_1400mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$55.92,4,5600,0.67471,http://www.hobbyking.com/hobbyking/store/__38500__Turnigy_5600mAh_4S_14_8V_60C_Hardcase_Pack.html
$6.99,2,1400,0.67471,http://www.hobbyking.com/hobbyking/store/__17279__Turnigy_nano_tech_1400mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$17.99,4,1800,0.6753,http://www.hobbyking.com/hobbyking/store/__25513__ZIPPY_Compact_1800mAh_4S_35C_Lipo_Pack.html
$29.99,4,3000,0.67545,http://www.hobbyking.com/hobbyking/store/__10100__Turnigy_3000mAh_4S_35C_Lipo_Pack.html
$49.99,4,5000,0.67554,http://www.hobbyking.com/hobbyking/store/__9516__Turnigy_5000mAh_4S_30C_Lipo_Pack.html
$8.00,2,1600,0.67568,http://www.hobbyking.com/hobbyking/store/__17065__Turnigy_1600mAh_2S_20C_Losi_Mini_SCT_Pack.html
$13.26,2,2650,0.67619,http://www.hobbyking.com/hobbyking/store/__11914__Turnigy_nano_tech_2650mah_2S_25_50C_Lipo_Pack.html
$75.20,6,5000,0.67748,http://www.hobbyking.com/hobbyking/store/__38515__Turnigy_Heavy_Duty_Series_5000mAh_6S_60C_Lipo_Pack.html
$64.40,4,6400,0.6799,http://www.hobbyking.com/hobbyking/store/__38506__Turnigy_6400mAh_4S_14_8V_60C_Hardcase_Pack_Removable_Leads_.html
$55.90,6,3700,0.68055,http://www.hobbyking.com/hobbyking/store/__21415__ZIPPY_Compact_3700mAh_6S_35C_Lipo_Pack.html
$46.59,5,3700,0.68064,http://www.hobbyking.com/hobbyking/store/__21414__ZIPPY_Compact_3700mAh_5S_35C_Lipo_Pack.html
$37.28,4,3700,0.68079,http://www.hobbyking.com/hobbyking/store/__21413__ZIPPY_Compact_3700mAh_4S_35C_Lipo_Pack.html
$27.97,3,3700,0.68103,http://www.hobbyking.com/hobbyking/store/__21412__ZIPPY_Compact_3700mAh_3S_35C_Lipo_Pack.html
$25.20,2,5000,0.68108,http://www.hobbyking.com/hobbyking/store/__9514__Turnigy_5000mAh_2S_30C_Lipo_Pack.html
$50.40,4,5000,0.68108,http://www.hobbyking.com/hobbyking/store/__38504__Turnigy_5000mAh_4S_14_8V_60C_Hardcase_Pack_Removable_Leads_.html
$99.99,12,3300,0.68243,http://www.hobbyking.com/hobbyking/store/__26786__Turnigy_nano_tech_A_SPEC_3300mah_12S_65_130C_Lipo_Pack.html
$90.93,8,4500,0.68266,http://www.hobbyking.com/hobbyking/store/__21426__ZIPPY_Compact_4500mAh_8S_35C_Lipo_Pack.html
$79.57,7,4500,0.68271,http://www.hobbyking.com/hobbyking/store/__21425__ZIPPY_Compact_4500mAh_7S_35C_Lipo_Pack.html
$68.21,6,4500,0.68278,http://www.hobbyking.com/hobbyking/store/__21424__ZIPPY_Compact_4500mAh_6S_35C_Lipo_Pack.html
$9.10,2,1800,0.68318,http://www.hobbyking.com/hobbyking/store/__28005__Turnigy_1800mAh_2S_12C_Lipo_Receiver_Pack.html
$10.87,2,2150,0.68322,http://www.hobbyking.com/hobbyking/store/__9312__Rhino_2150mAh_2S_7_4v_25C_Lipoly_Pack_.html
$34.13,3,4500,0.68328,http://www.hobbyking.com/hobbyking/store/__21421__ZIPPY_Compact_4500mAh_3S_35C_Lipo_Pack.html
$22.77,2,4500,0.68378,http://www.hobbyking.com/hobbyking/store/__21420__ZIPPY_Compact_4500mAh_2S_35C_Lipo_Pack.html
$11.78,3,1550,0.68468,http://www.hobbyking.com/hobbyking/store/__9326__Rhino_1550mAh_3S_11_1v_30C_Lipoly_Pack.html
$15.26,3,2000,0.68739,http://www.hobbyking.com/hobbyking/store/__17286__Turnigy_nano_tech_2000mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$25.47,2,5000,0.68838,http://www.hobbyking.com/hobbyking/store/__10305__Turnigy_5000mAh_2S_40C_Lipo_Pack.html
$16.85,3,2200,0.69001,http://www.hobbyking.com/hobbyking/store/__21393__ZIPPY_Compact_2200mAh_3S_35C_Lipo_Pack.html
$2.56,1,1000,0.69189,http://www.hobbyking.com/hobbyking/store/__23319__Turnigy_nano_tech_1000mah_1S_15C_Round_Lipo.html
$9.99,3,1300,0.69231,http://www.hobbyking.com/hobbyking/store/__9493__Turnigy_1300mAh_3S_30C_Lipo_Pack.html
$9.99,3,1300,0.69231,http://www.hobbyking.com/hobbyking/store/__8936__Turnigy_1300mAh_3S_25C_Lipo_Pack.html
$57.40,4,5600,0.69257,http://www.hobbyking.com/hobbyking/store/__38505__Turnigy_5600mAh_4S_14_8V_60C_Hardcase_Pack_Removable_Leads_.html
$10.77,3,1400,0.69305,http://www.hobbyking.com/hobbyking/store/__17282__Turnigy_nano_tech_1400mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$37.73,6,2450,0.69369,http://www.hobbyking.com/hobbyking/store/__10276__Turnigy_2450mAh_6S_30C_Lipo_Pack.html
$10.28,2,2000,0.69459,http://www.hobbyking.com/hobbyking/store/__17285__Turnigy_nano_tech_2000mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$16.99,3,2200,0.69574,http://www.hobbyking.com/hobbyking/store/__10279__Turnigy_2200mAh_3S_40C_Lipo_Pack.html
$9.27,3,1200,0.69595,http://www.hobbyking.com/hobbyking/store/__17278__Turnigy_nano_tech_1200mah_3S_15_25C_Lipo_AIRSOFT_Pack.html
$40.97,6,2650,0.69641,http://www.hobbyking.com/hobbyking/store/__11917__Turnigy_nano_tech_2650mah_6S_25_50C_Lipo_Pack.html
$6.19,2,1200,0.69707,http://www.hobbyking.com/hobbyking/store/__17277__Turnigy_nano_tech_1200mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$13.44,4,1300,0.69854,http://www.hobbyking.com/hobbyking/store/__9366__Turnigy_1300mAh_4S_30C_Lipo_Pack.html
$41.13,6,2650,0.69913,http://www.hobbyking.com/hobbyking/store/__11948__Turnigy_nano_tech_2650mAh_6S_35_70C_Lipo_Pack.html
$6.73,2,1300,0.69958,http://www.hobbyking.com/hobbyking/store/__11902__Turnigy_nano_tech_1300mah_2S_25_50C_Lipo_Pack.html
$20.20,6,1300,0.69993,http://www.hobbyking.com/hobbyking/store/__20962__Turnigy_1300mAh_6S_25C_Lipo_Pack_450_helicopter_HK_Trex_Rave_E4_etc_.html
$7.78,2,1500,0.7009,http://www.hobbyking.com/hobbyking/store/__37839__Turnigy_nano_tech_1500mAh_2S_20_40C_Lipo_AIRSOFT_Pack.html
$11.68,3,1500,0.7015,http://www.hobbyking.com/hobbyking/store/__37841__Turnigy_nano_tech_1500mAh_3S_20_40C_Lipo_AIRSOFT_Pack.html
$7.28,2,1400,0.7027,http://www.hobbyking.com/hobbyking/store/__17281__Turnigy_nano_tech_1400mah_2S_15_25C_Lipo_AIRSOFT_Pack.html
$25.76,3,3300,0.70325,http://www.hobbyking.com/hobbyking/store/__9500__Turnigy_3300mAh_3S_30C_Lipo_Pack.html
$26.04,2,5000,0.70378,http://www.hobbyking.com/hobbyking/store/__38498__Turnigy_5000mAh_2S_7_4V_60C_Hardcase_Pack.html
$15.64,2,3000,0.7045,http://www.hobbyking.com/hobbyking/store/__9496__Turnigy_3000mAh_2S_30C_Lipo_Pack.html
$34.45,6,2200,0.70536,http://www.hobbyking.com/hobbyking/store/__10281__Turnigy_2200mAh_6S_40C_Lipo_Pack.html
$5.75,1,2200,0.70639,http://www.hobbyking.com/hobbyking/store/__18559__Turnigy_2200mAh_1S_40C_Lipoly_Single_Cell_.html
$45.66,3,5800,0.70923,http://www.hobbyking.com/hobbyking/store/__21380__ZIPPY_Compact_5800mAh_3S_25C_Lipo_Pack.html
$23.69,2,4500,0.71141,http://www.hobbyking.com/hobbyking/store/__10282__Turnigy_4500mAh_2S_30C_Lipo_Pack_.html
$23.21,4,2200,0.71284,http://www.hobbyking.com/hobbyking/store/__11945__Turnigy_nano_tech_2200mah_4S_35_70C_Lipo_Pack.html
$27.99,4,2650,0.71367,http://www.hobbyking.com/hobbyking/store/__11916__Turnigy_nano_tech_2650mah_4S_25_50C_Lipo_Pack.html
$16.46,4,1550,0.71752,http://www.hobbyking.com/hobbyking/store/__9327__Rhino_1550mAh_4S_14_8v_25C_Lipoly_Pack.html
$29.89,3,3750,0.71808,http://www.hobbyking.com/hobbyking/store/__5723__Polyquest_3750mAh_3S_25C_Lipoly_Version_2_.html
$15.99,2,3000,0.72027,http://www.hobbyking.com/hobbyking/store/__10297__Turnigy_3000mAh_2S_40C_Lipo_Pack.html
$39.99,3,5000,0.72054,http://www.hobbyking.com/hobbyking/store/__9515__Turnigy_5000mAh_3S_30C_Lipo_Pack.html
$19.60,3,2450,0.72072,http://www.hobbyking.com/hobbyking/store/__10274__Turnigy_2450mAh_3S_30C_Lipo_Pack.html
$53.41,4,5000,0.72176,http://www.hobbyking.com/hobbyking/store/__11936__Turnigy_nano_tech_5000mah_4S_25_50C_Lipo_Pack.html
$2.41,1,900,0.72372,http://www.hobbyking.com/hobbyking/store/__23318__Turnigy_nano_tech_900mah_1S_15C_Round_Lipo.html
$17.16,4,1600,0.72466,http://www.hobbyking.com/hobbyking/store/__21391__ZIPPY_Compact_1600mAh_4S_35C_Lipo_Pack.html
$17.17,4,1600,0.72508,http://www.hobbyking.com/hobbyking/store/__9457__Turnigy_1600mAh_4S_30C_Lipo_Pack.html
$19.33,4,1800,0.7256,http://www.hobbyking.com/hobbyking/store/__11942__Turnigy_nano_tech_1800mah_4S_35_70C_Lipo_Pack.html
$12.09,3,1500,0.72613,http://www.hobbyking.com/hobbyking/store/__26565__Turnigy_1500mAh_3S_25C_Lipo_Pack.html
$17.75,2,3300,0.72686,http://www.hobbyking.com/hobbyking/store/__17238__Turnigy_nano_tech_3300mah_2S_35_70C_Lipo_Pack.html
$53.79,5,4000,0.72689,http://www.hobbyking.com/hobbyking/store/__17243__Turnigy_nano_tech_4000mah_5S_35_70C_Lipo_Pack.html
$14.53,3,1800,0.72723,http://www.hobbyking.com/hobbyking/store/__17296__Turnigy_nano_tech_1800mah_3S_25_50C_Lipo_AIRSOFT_Pack.html
$32.29,3,4000,0.72725,http://www.hobbyking.com/hobbyking/store/__17241__Turnigy_nano_tech_4000mah_3S_35_70C_Lipo_Pack.html
$11.84,2,2200,0.72727,http://www.hobbyking.com/hobbyking/store/__11910__Turnigy_nano_tech_2200mah_2S_25_50C_Lipo_Pack.html
$24.22,2,4500,0.72733,http://www.hobbyking.com/hobbyking/store/__17246__Turnigy_nano_tech_4500mah_2S_35_70C_Lipo_Pack.html
$60.55,5,4500,0.72733,http://www.hobbyking.com/hobbyking/store/__17249__Turnigy_nano_tech_4500mah_5S_35_70C_Lipo_Pack.html
$21.53,2,4000,0.72736,http://www.hobbyking.com/hobbyking/store/__17240__Turnigy_nano_tech_4000mah_2S_35_70C_Lipo_Pack.html
$9.69,2,1800,0.72748,http://www.hobbyking.com/hobbyking/store/__17295__Turnigy_nano_tech_1800mah_2S_25_50C_Lipo_AIRSOFT_Pack.html
$48.46,4,4500,0.72763,http://www.hobbyking.com/hobbyking/store/__17248__Turnigy_nano_tech_4500mah_4S_35_70C_Lipo_Pack.html
$10.50,3,1300,0.72765,http://www.hobbyking.com/hobbyking/store/__17288__Turnigy_nano_tech_1300mah_3S_25_50C_Lipo_AIRSOFT_Pack.html
$36.35,3,4500,0.72773,http://www.hobbyking.com/hobbyking/store/__17247__Turnigy_nano_tech_4500mah_3S_35_70C_Lipo_Pack.html
$26.94,2,5000,0.72811,http://www.hobbyking.com/hobbyking/store/__17252__Turnigy_nano_tech_5000mah_2S_35_70C_Lipo_Pack.html
$35.57,4,3300,0.7283,http://www.hobbyking.com/hobbyking/store/__21404__ZIPPY_Compact_3300mAh_4S_35C_Lipo_Pack.html
$26.69,3,3300,0.72864,http://www.hobbyking.com/hobbyking/store/__21403__ZIPPY_Compact_3300mAh_3S_35C_Lipo_Pack.html
$7.01,2,1300,0.72869,http://www.hobbyking.com/hobbyking/store/__17287__Turnigy_nano_tech_1300mah_2S_25_50C_Lipo_AIRSOFT_Pack.html
$67.42,5,5000,0.72886,http://www.hobbyking.com/hobbyking/store/__17255__Turnigy_nano_tech_5000mah_5S_35_70C_Lipo_Pack.html
$8.63,2,1600,0.72889,http://www.hobbyking.com/hobbyking/store/__9455__Turnigy_1600mAh_2S_30C_Lipo_Pack.html
